part_of_speech,rank,word
adjective,1,good
adjective,2,new
adjective,3,first
adjective,4,last
adjective,5,long
adjective,6,great
adjective,7,little
adjective,8,own
adjective,9,other
adjective,10,old
adjective,11,right
adjective,12,big
adjective,13,high
adjective,14,different
adjective,15,small
adjective,16,large
adjective,17,next
adjective,18,early
adjective,19,young
adjective,20,important
adjective,21,few
adjective,22,public
adjective,23,bad
adjective,24,same
adjective,25,able
adjective,26,private
adjective,27,open
adjective,28,social
adjective,29,sure
adjective,30,full
adjective,31,low
adjective,32,free
adjective,33,clear
adjective,34,strong
adjective,35,short
adjective,36,special
adjective,37,whole
adjective,38,common
adjective,39,personal
adjective,40,true
adjective,41,central
adjective,42,happy
adjective,43,simple
adjective,44,human
adjective,45,real
adjective,46,certain
adjective,47,hard
adjective,48,final
adjective,49,major
adjective,50,recent
adverb,1,always
adverb,2,usually
adverb,3,often
adverb,4,sometimes
adverb,5,rarely
adverb,6,never
adverb,7,not
adverb,8,also
adverb,9,very
adverb,10,really
adverb,11,just
adverb,12,still
adverb,13,even
adverb,14,quickly
adverb,15,slowly
adverb,16,later
adverb,17,soon
adverb,18,now
adverb,19,then
adverb,20,here
adverb,21,there
adverb,22,away
adverb,23,together
adverb,24,however
adverb,25,too
adverb,26,almost
adverb,27,enough
adverb,28,already
adverb,29,alone
adverb,30,again
adverb,31,easily
adverb,32,finally
adverb,33,earlier
adverb,34,exactly
adverb,35,nearly
adverb,36,actually
adverb,37,recently
adverb,38,currently
adverb,39,lately
adverb,40,perhaps
adverb,41,maybe
adverb,42,though
adverb,43,certainly
adverb,44,instead
adverb,45,especially
adverb,46,naturally
adverb,47,seriously
adverb,48,absolutely
adverb,49,clearly
adverb,50,widely
article,1,a
article,2,the
article,3,an
article,4,this
article,5,that
article,6,these
article,7,those
article,8,each
article,9,some
article,10,any
article,11,every
article,12,few
article,13,many
article,14,no
article,15,both
article,16,either
article,17,neither
article,18,other
article,19,another
article,20,such
article,21,several
conjunction,1,and
conjunction,2,but
conjunction,3,or
conjunction,4,so
conjunction,5,because
conjunction,6,although
conjunction,7,if
conjunction,8,unless
conjunction,9,while
conjunction,10,when
conjunction,11,since
conjunction,12,though
conjunction,13,until
conjunction,14,where
conjunction,15,after
conjunction,16,before
conjunction,17,as
conjunction,18,even
conjunction,19,once
conjunction,20,yet
noun,1,time
noun,2,person
noun,3,year
noun,4,way
noun,5,day
noun,6,thing
noun,7,man
noun,8,world
noun,9,life
noun,10,hand
noun,11,part
noun,12,child
noun,13,eye
noun,14,woman
noun,15,place
noun,16,work
noun,17,week
noun,18,case
noun,19,point
noun,20,government
noun,21,company
noun,22,number
noun,23,group
noun,24,problem
noun,25,fact
noun,26,home
noun,27,water
noun,28,room
noun,29,mother
noun,30,father
noun,31,face
noun,32,school
noun,33,family
noun,34,student
noun,35,state
noun,36,country
noun,37,friend
noun,38,city
noun,39,house
noun,40,story
noun,41,book
noun,42,job
noun,43,minute
noun,44,end
noun,45,night
noun,46,side
noun,47,kid
noun,48,moment
noun,49,hour
noun,50,health
preposition,1,about
preposition,2,above
preposition,3,across
preposition,4,after
preposition,5,against
preposition,6,along
preposition,7,among
preposition,8,around
preposition,9,at
preposition,10,before
preposition,11,behind
preposition,12,below
preposition,13,beneath
preposition,14,beside
preposition,15,between
preposition,16,beyond
preposition,17,but
preposition,18,by
preposition,19,despite
preposition,20,down
preposition,21,during
preposition,22,except
preposition,23,for
preposition,24,from
preposition,25,in
preposition,26,inside
preposition,27,into
preposition,28,like
preposition,29,near
preposition,30,of
preposition,31,off
preposition,32,on
preposition,33,onto
preposition,34,out
preposition,35,outside
preposition,36,over
preposition,37,past
preposition,38,since
preposition,39,through
preposition,40,to
preposition,41,toward
preposition,42,under
preposition,43,until
preposition,44,up
preposition,45,upon
preposition,46,with
preposition,47,within
preposition,48,without
preposition,49,towards
pronoun,1,I
pronoun,2,you
pronoun,3,he
pronoun,4,she
pronoun,5,it
pronoun,6,we
pronoun,7,they
pronoun,8,me
pronoun,9,him
pronoun,10,her
pronoun,11,us
pronoun,12,them
pronoun,13,my
pronoun,14,your
pronoun,15,his
pronoun,16,its
pronoun,17,our
pronoun,18,their
pronoun,19,mine
pronoun,20,yours
pronoun,21,theirs
pronoun,22,myself
pronoun,23,yourself
pronoun,24,himself
pronoun,25,herself
pronoun,26,itself
pronoun,27,ourselves
pronoun,28,themselves
pronoun,29,who
pronoun,30,whom
pronoun,31,which
pronoun,32,that
pronoun,33,this
pronoun,34,these
pronoun,35,those
pronoun,36,anyone
pronoun,37,someone
pronoun,38,everyone
pronoun,39,nobody
pronoun,40,nothing
pronoun,41,something
pronoun,42,everything
pronoun,43,none
pronoun,44,few
pronoun,45,many
pronoun,46,each
pronoun,47,both
pronoun,48,several
pronoun,49,all
verb,1,be
verb,2,have
verb,3,do
verb,4,say
verb,5,get
verb,6,make
verb,7,go
verb,8,know
verb,9,take
verb,10,see
verb,11,come
verb,12,think
verb,13,look
verb,14,want
verb,15,give
verb,16,use
verb,17,find
verb,18,tell
verb,19,ask
verb,20,work
verb,21,seem
verb,22,feel
verb,23,try
verb,24,leave
verb,25,call
verb,26,keep
verb,27,help
verb,28,run
verb,29,show
verb,30,move
verb,31,like
verb,32,live
verb,33,believe
verb,34,hold
verb,35,happen
verb,36,write
verb,37,provide
verb,38,sit
verb,39,stand
verb,40,lose
verb,41,pay
verb,42,meet
verb,43,include
verb,44,continue
verb,45,set
verb,46,learn
verb,47,change
verb,48,lead
verb,49,watch
verb,50,grow
verb,51,decide
verb,52,plan
verb,53,need
verb,54,suggest
verb,55,recommend
verb,56,report
verb,57,promise
verb,58,avoid
verb,59,celebrate
verb,60,consider
verb,61,contemplate
verb,62,defer
verb,63,delay
verb,64,detest
verb,65,dislike
verb,66,dread
verb,67,enjoy
verb,68,entail
verb,69,escape
verb,70,excuse
verb,71,forgive
verb,72,involve
verb,73,loathe
verb,74,mind
verb,75,miss
verb,76,pardon
verb,77,postpone
verb,78,prevent
verb,79,resent
verb,80,resist
verb,81,risk
verb,82,save
verb,83,stop
verb,84,acknowledge
verb,85,admit
verb,86,anticipate
verb,87,appreciate
verb,88,deny
verb,89,imagine
verb,90,mean
verb,91,mention
verb,92,propose
verb,93,recall
verb,94,recollect
verb,95,understand
verb,96,love
verb,97,prefer
verb,98,remember
verb,99,forget
