"Sentence","PatternGroup","Rule","Verb","BaseVerbForm","ThirdPersonSingular","Word to Blank","Other Option","Category","Difficulty","Tense","Topic"
"She enjoys cooking dinner after work.","gerund_after_verb","Gerund after verb","enjoy","cook","cooks","cooking","to cook","gerunds_intro","round1","present","work"
"They avoided talking about the problem at dinner.","gerund_after_verb","Gerund after verb","avoid","talk","talks","talking","to talk","gerunds_intro","round1","present","daily_life"
"I finished cleaning the kitchen before class.","gerund_after_verb","Gerund after verb","finish","clean","cleans","cleaning","to clean","gerunds_intro","round1","present","school"
"We practiced speaking English after school.","gerund_after_verb","Gerund after verb","practice","speak","speaks","speaking","to speak","gerunds_intro","round1","present","school"
"He considered taking the earlier train.","gerund_after_verb","Gerund after verb","consider","take","takes","taking","to take","gerunds_intro","round1","present","transportation"
"My friend suggested meeting at the library.","gerund_after_verb","Gerund after verb","suggest","meet","meets","meeting","to meet","gerunds_intro","round1","present","school"
"She keeps forgetting her water bottle.","gerund_after_verb","Gerund after verb","keep","forget","forgets","forgetting","to forget","gerunds_intro","round1","present","daily_life"
"They discussed moving to a quieter neighborhood.","gerund_after_verb","Gerund after verb","discuss","move","moves","moving","to move","gerunds_intro","round2","present","daily_life"
"I miss walking by the harbor in the morning.","gerund_after_verb","Gerund after verb","miss","walk","walks","walking","to walk","gerunds_intro","round2","present","transportation"
"She quit smoking last year.","gerund_after_verb","Gerund after verb","quit","smoke","smokes","smoking","to smoke","gerunds_intro","round2","past","health"
"He resisted checking his phone during class.","gerund_after_verb","Gerund after verb","resist","check","checks","checking","to check","gerunds_intro","round2","present","school"
"We postponed leaving until the rain stopped.","gerund_after_verb","Gerund after verb","postpone","leave","leaves","leaving","to leave","gerunds_intro","round2","present","daily_life"
"She risks losing her keys when she rushes.","gerund_after_verb","Gerund after verb","risk","lose","loses","losing","to lose","gerunds_intro","round2","present","daily_life"
"They recommended trying the new coffee shop.","gerund_after_verb","Gerund after verb","recommend","try","tries","trying","to try","gerunds_intro","round2","present","daily_life"
"I can't stand waiting in long lines.","gerund_after_verb","Gerund after verb","stand","wait","waits","waiting","to wait","gerunds_intro","round2","present","daily_life"
"He admitted making a mistake on the form.","gerund_after_verb","Gerund after verb","admit","make","makes","making","to make","gerunds_intro","round2","present","daily_life"
"She imagined living near her family again.","gerund_after_verb","Gerund after verb","imagine","live","lives","living","to live","gerunds_intro","round2","present","relationships"
"We completed painting the classroom wall.","gerund_after_verb","Gerund after verb","complete","paint","paints","painting","to paint","gerunds_intro","round2","present","school"
"They mentioned seeing him at the market.","gerund_after_verb","Gerund after verb","mention","see","sees","seeing","to see","gerunds_intro","round2","present","transportation"
