Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit,Correct answer(s)
"Which sentence uses present perfect for a result that matters now?","I take my medicine every morning.","I took my medicine yesterday.","I have taken my medicine already.","I was taking my medicine at 8:00.",20,"3"
"Which time signal usually shows a duration from the past until now?","yesterday","for three weeks","right now","tomorrow",20,"2"
"Choose the correct sentence.","I enjoy to exercise after class.","I enjoy exercising after class.","I enjoy exercise to after class.","I enjoy exercised after class.",20,"2"
"After a preposition, which verb form do we usually use?","base verb","past tense","gerund (-ing)","future with will",20,"3"
"Complete the sentence: I look forward to ___ you next week.","see","saw","seeing","to see",20,"3"
"What does 'used to' mean in: I used to smoke, but I quit?","a habit now","a past habit that is not true now","future plan","doctor's advice",20,"2"
"Choose the correct sentence with 'be used to'.","I am used to wake up early.","I am used to waking up early.","I used to waking up early.","I am use to wake up early.",20,"2"
"Choose the correct sentence with 'get used to'.","She is getting used to take the bus.","She is getting used to taking the bus.","She gets used take the bus.","She got use to taking the bus.",20,"2"
"Which modal shows a strong rule or obligation?","might","must","would","could",20,"2"
"Which sentence is a polite request?","You must help me now.","Help me.","Could you help me?","You help me.",20,"3"
"Which sentence is an imperative?","You should take this medicine.","Take this medicine twice a day.","I will take this medicine.","The medicine is helpful.",20,"2"
"What is the negative imperative form?","No take this medicine.","You do not taking this medicine.","Don't take this medicine.","Not to take this medicine.",20,"3"
"Which word means 'can spread easily to other people'?","contagious","accustomed","inflamed","pediatrician",20,"1"
"Which word means 'what the doctor says is wrong with you'?","appointment","diagnosis","prescription","checkup",20,"2"
"Which word means 'how long something lasts'?","result","duration","pattern","routine",20,"2"
"Which word means 'to stop something from happening'?","recover","adjust","prevent","prefer",20,"3"
"Verb Quiz 13: What is the past participle of drive?","drived","drove","driven","driving",20,"3"
"Verb Quiz 14: Choose the correct forms of feel.","feel - felt - felt","feel - feeled - feeled","feel - felt - feel","feel - falled - fallen",20,"1"
"Verb Quiz 15: Complete: She has ___ her medicine already.","take","took","taken","taking",20,"3"
"Verb Quiz 16: Which verb is regular and means to choose a new appointment time?","reschedule","ride","wear","feel",20,"1"
